quarter_key,call_date,event_2330,alpha,beta_twii,n_est,TW_CAR_0_0,TW_CAR_m1p1,TW_CAR_0p1,TW_CAR_m1p3,TW_CAR_m1p5,TSM_CAR_m1p1,TSM_CAR_0_0,TSM_CAR_0p1,TSM_CAR_m1p3,TSM_CAR_m1p5
2018_Q1,2018-04-19,2018-04-20,0.00046511201478634386,1.5099977375116496,121,-0.03745620705791783,-0.02763818236770871,-0.037316818133010785,-0.015779427797195072,-0.02241401862552999,-0.067388,-0.051251,-0.056866,-0.058164,-0.088277
2018_Q2,2018-07-19,2018-07-20,-9.16139191593935e-05,1.4889620745213852,121,0.04470583572027578,0.0653115956454608,0.057521309948958765,0.06083157527862592,0.06271782578059933,0.074358,0.04125,0.066277,0.059777,0.065008
2018_Q3,2018-10-18,2018-10-19,0.0009533249097043245,1.4425642694461296,121,0.001928140401487012,-0.008455360753016918,-0.002789429203582477,-0.010947557985349708,-0.009534243216819428,-0.021499,-0.009633,-0.010839,-0.021483,-0.021896
2018_Q4,2019-01-17,2019-01-18,0.0011393139945875283,1.391985041208485,121,-0.016879816555262703,-0.005085133397382362,-0.014126294400801332,-0.0034759162046151537,0.0016684983687936068,-0.0034,0.009866,0.010693,-0.001924,0.032564
2019_Q1,2019-04-18,2019-04-19,-0.00011709907564107848,1.4497994779478418,121,-0.0007399857146044096,0.018743990743245044,0.0025088506468639443,0.02496068941065995,0.0014511522616557256,0.048283,0.02048,0.013857,0.046537,0.009263
2019_Q2,2019-07-18,2019-07-19,-0.0006121497695727424,1.791090960405651,121,0.008039026744522112,0.029583144412630998,0.016204481481624712,0.03603035724230588,0.02932632521937408,0.059892,0.033238,0.054898,0.062208,0.044678
2019_Q3,2019-10-17,2019-10-18,0.0010228615483415134,1.6858260375270047,121,-0.0017229101653335529,-0.028350212473186025,-0.013577409710699989,-0.028409591539252748,-0.03724120872178716,-0.022159,-0.012304,-0.017719,-0.001346,-0.002909
2019_Q4,2020-01-16,2020-01-17,0.001223476093514901,1.7053039189201546,121,-0.00900922278637554,-0.028122257085531677,-0.014241254836137753,0.0180623575184681,0.0223454190143906,-0.052281,-0.006114,-0.015149,-0.058971,-0.065339
2020_Q1,2020-04-16,2020-04-17,0.0012608825243968374,1.1505384787833248,121,0.0439780227190553,0.038842853937902835,0.03568249553392884,0.03358251138501748,0.026652178916682263,0.04755,0.049629,0.048375,0.045554,0.047938
2020_Q2,2020-07-16,2020-07-17,0.00012641313060713293,1.1008372114246334,121,0.024290554320012283,0.010864660448008774,0.0220733636498284,0.03278287548995762,0.052797071614545124,-0.016792,0.010705,0.00504,-0.005196,-0.006448
